table_name,column_name,data_type,is_nullable,column_default,character_maximum_length,ordinal_position
ai_jobs,job_id,uuid,NO,gen_random_uuid(),null,1
ai_jobs,material_id,uuid,NO,null,null,2
ai_jobs,user_id,uuid,NO,null,null,3
ai_jobs,job_type,character varying,NO,null,50,4
ai_jobs,status,USER-DEFINED,NO,'pending'::ai_job_status,null,5
ai_jobs,priority,integer,NO,0,null,6
ai_jobs,attempts,integer,NO,0,null,7
ai_jobs,max_attempts,integer,NO,3,null,8
ai_jobs,error_message,text,YES,null,null,9
ai_jobs,result,jsonb,YES,null,null,10
ai_jobs,metadata,jsonb,YES,null,null,11
ai_jobs,started_at,timestamp with time zone,YES,null,null,12
ai_jobs,completed_at,timestamp with time zone,YES,null,null,13
ai_jobs,created_at,timestamp with time zone,NO,now(),null,14
ai_jobs,updated_at,timestamp with time zone,NO,now(),null,15
learning_materials,material_id,uuid,NO,uuid_generate_v4(),null,1
learning_materials,title,text,NO,null,null,2
learning_materials,description,text,YES,null,null,3
learning_materials,content_type,text,NO,null,null,4
learning_materials,file_url,text,YES,null,null,5
learning_materials,created_at,timestamp with time zone,YES,now(),null,9
learning_materials,extracted_content,text,YES,null,null,10
learning_materials,word_count,integer,YES,0,null,11
learning_materials,ai_quiz_generated,boolean,YES,false,null,12
learning_materials,user_id,uuid,YES,null,null,13
learning_materials,is_public,boolean,YES,false,null,14
learning_materials,category,text,YES,null,null,15
learning_materials,ai_status,text,NO,'pending'::text,null,17
learning_materials,download_count,integer,YES,0,null,19
learning_materials,storage_path,text,YES,null,null,20
learning_materials,uploader_name,text,YES,null,null,21
learning_materials,uploader_email,text,YES,null,null,22
learning_materials,file_name,text,YES,null,null,23
learning_materials,size,bigint,YES,null,null,24
learning_materials,mime,text,YES,null,null,25
learning_materials,updated_at,timestamp with time zone,YES,now(),null,26
learning_materials,deleted_at,timestamp with time zone,YES,null,null,27
learning_materials,likes_count,integer,YES,0,null,28
learning_materials,tags_jsonb,jsonb,YES,null,null,30
learning_materials,ai_toggle_enabled,boolean,YES,false,null,31
learning_materials,ai_limit_count,integer,YES,0,null,32
learning_materials,ai_summary,text,YES,null,null,33
learning_materials,ai_keypoints,jsonb,YES,null,null,34
learning_materials,ai_quiz,jsonb,YES,null,null,35
learning_materials,ai_flashcards,jsonb,YES,null,null,36
learning_materials,ai_generated_at,timestamp with time zone,YES,null,null,37
learning_materials,latest_ai_versions,jsonb,YES,null,null,38
learning_materials,extracted_raw,text,YES,null,null,39
learning_materials,extraction_meta,jsonb,YES,null,null,40
material_ai_embeddings,embedding_id,uuid,NO,gen_random_uuid(),null,1
material_ai_embeddings,ai_version_id,uuid,NO,null,null,2
material_ai_embeddings,vector,USER-DEFINED,YES,null,null,3
material_ai_embeddings,created_at,timestamp with time zone,YES,now(),null,4
material_ai_versions,ai_version_id,uuid,NO,gen_random_uuid(),null,1
material_ai_versions,material_id,uuid,NO,null,null,2
material_ai_versions,type,text,NO,null,null,3
material_ai_versions,content,jsonb,NO,null,null,4
material_ai_versions,model_name,text,YES,null,null,5
material_ai_versions,model_params,jsonb,YES,null,null,6
material_ai_versions,generated_by,text,YES,null,null,7
material_ai_versions,created_at,timestamp with time zone,YES,now(),null,8
material_ai_versions,created_by,uuid,YES,null,null,9
material_ai_versions,run_id,uuid,YES,null,null,10
